Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,1003,4.038567407,-10.12646294,22.78463554,1.684489846,-103.383667,-24.02998543,0,4.482315521,130.8355255
0,0,1004,4.06073722,-10.07883549,22.67227173,1.712525964,-91.48226929,-24.01809502,0,4.509640315,129.0438995
0,0,1005,4.083104137,-10.03158951,22.56153488,1.725846529,-79.5655365,-24.00592613,0,4.537183239,127.25103
0,0,1006,4.105669671,-9.987915039,22.45203781,1.725542426,-67.63474274,-23.99350739,0,4.564589428,125.4569321
0,0,1007,4.128366669,-9.949874878,22.34329987,1.698686242,-55.69812775,-23.98093605,0,4.591546913,123.6615753
0,0,1008,4.151311087,-9.918865204,22.23452568,1.648829579,-43.74888229,-23.9681263,0,4.617995252,121.8649902
0,0,1009,4.174332773,-9.895150185,22.12479591,1.587596774,-31.79160309,-23.9552784,0,4.643715464,120.0671616
0,0,1010,4.197540053,-9.877856255,22.01292801,1.521547794,-19.82606316,-23.94231415,0,4.668900992,118.2680969
0,0,1011,4.221012209,-9.865335464,21.89829254,1.477062583,-7.853230953,-23.92917442,0,4.693810888,116.4677963
0,0,1012,4.244761957,-9.855191231,21.78094101,1.46983254,4.129582882,-23.9158268,0,4.718728874,114.666214
0,0,1013,4.268759617,-9.844316483,21.66144753,1.502001882,16.12070656,-23.90227127,0,4.743982285,112.8633957
0,0,1014,4.293109028,-9.830003738,21.54101372,1.566343665,28.122509,-23.88837433,0,4.769989801,111.0593262
0,0,1015,4.317696587,-9.809690475,21.42055893,1.631995916,40.13461685,-23.87421989,0,4.796941111,109.2540359
0,0,1016,4.342681444,-9.782945633,21.30080986,1.661750555,52.15901947,-23.85961914,0,4.825057018,107.4475021
0,0,1017,4.367909944,-9.750295639,21.18217468,1.672613382,64.20449829,-23.84469604,0,4.854137215,105.6397552
0,0,1018,4.393276115,-9.713035583,21.06497765,1.681044459,76.26455688,-23.8295269,0,4.883938683,103.830719
0,0,1019,4.418776981,-9.674239159,20.94928169,1.686649442,88.33679199,-23.81408501,0,4.914103231,102.0204544
0,0,1020,4.444066245,-9.63746357,20.83489799,1.691036701,100.4169006,-23.79868698,0,4.943856571,100.2089539
0,0,1021,4.469305289,-9.604937553,20.72156715,1.686256886,112.5066071,-23.78315926,0,4.973079346,98.39620209
0,0,1022,4.494429823,-9.578926086,20.60879135,1.697421789,124.604599,-23.7676239,0,5.001413919,96.58222961
