Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,2071,11.13257409,-24.89175224,108.5632706,2.374559402,11.14052105,-25.06287766,0,11.14667717,100.3182907
0,0,2072,11.12866442,-24.80066681,111.816597,2.491082907,18.69271088,-25.08235359,0,11.14306691,97.40033722
0,0,2073,11.12501236,-24.68696594,115.0757523,2.597702503,26.2351284,-25.10165596,0,11.13979754,94.48265076
0,0,2074,11.12158885,-24.53518677,118.3408432,2.675658226,33.76993561,-25.1207943,0,11.13690082,91.56524658
0,0,2075,11.11842399,-24.32095909,121.6122284,2.740258455,41.28207397,-25.13971901,0,11.13451163,88.64809418
0,0,2076,11.11536856,-24.15752602,124.8911438,2.804406404,48.75183487,-25.1585598,0,11.13207433,85.73118591
0,0,2077,11.11243548,-24.05104828,128.1793518,2.869924545,56.22425842,-25.17728424,0,11.12955672,82.81452179
0,0,2078,11.10960525,-23.96554756,131.480835,2.913108826,63.70379639,-25.19589233,0,11.12706759,79.89807892
0,0,2079,11.10700714,-23.88549614,134.8007202,2.888575315,71.18948364,-25.21423531,0,11.12479501,76.98178101
0,0,2080,11.1044557,-23.80567551,138.1401367,2.908692122,78.68228912,-25.2324791,0,11.12257421,74.0656662
0,0,2081,11.10215007,-23.72411156,141.4953918,2.912999868,86.17628479,-25.25040817,0,11.1206128,71.14968109
0,0,2082,11.09995664,-23.63881874,144.8632202,2.919449329,93.6726532,-25.26815224,0,11.11878635,68.23378754
0,0,2083,11.09795664,-23.55043793,148.241394,2.914818525,101.1630249,-25.28562927,0,11.11717433,65.31800842
0,0,2084,11.0959223,-23.45972824,151.6281433,2.905482769,108.6448822,-25.30306625,0,11.11554651,62.40245056
0,0,2085,11.0941847,-23.36763954,155.0224457,2.885765553,116.1182861,-25.3201313,0,11.11423044,59.48711777
0,0,2086,11.09273351,-23.27443504,158.4235229,2.861454725,123.5907669,-25.33683395,0,11.11321514,56.57204056
0,0,2087,11.09118266,-23.18041611,161.8308411,2.835647345,131.0640106,-25.35355949,0,11.1121136,53.65724564
0,0,2088,11.08977931,-23.08508492,165.2443848,2.799575329,138.5414886,-25.37005997,0,11.11117593,50.74274063
0,0,2089,11.08838725,-22.98750877,168.6641541,2.750906944,146.0208435,-25.38647079,0,11.11027127,47.82854843
0,0,2090,11.08697516,-22.88135529,172.0911102,2.693702221,153.5005646,-25.40282249,0,11.10940208,44.91457748
0,0,2091,11.08570302,-22.76068306,175.5263977,2.651253223,160.9827423,-25.41895485,0,11.10876351,42.00088501
0,0,2092,11.0845651,-22.61479759,178.9733124,2.626950979,168.4666748,-25.43487549,0,11.10841555,39.08744431
0,0,2093,11.0836001,-22.45968246,-177.5623322,2.535905361,175.9485626,-25.45054817,0,11.10832027,36.17413712
0,0,2094,11.08253582,-22.31849289,-174.0747833,2.469951868,-176.5724335,-25.46624756,0,11.10807526,33.26096725
0,0,2095,11.08170087,-22.19110298,-170.5689545,2.372583151,-169.1022339,-25.48164749,0,11.10800285,30.34784508
0,0,2096,11.08097372,-22.07684135,-167.049942,2.27514267,-161.6469421,-25.49687195,0,11.10797907,27.43480873
0,0,2097,11.08023858,-21.97137833,-163.5198364,2.156099319,-154.2424927,-25.51203918,0,11.10790986,24.52182961
0,0,2098,11.07966193,-21.87355232,-159.9805298,2.009407282,-146.8748627,-25.52698517,0,11.10796565,21.60885811
0,0,2099,11.07929963,-21.78225899,-156.4329987,1.884154081,-139.5204163,-25.54165649,0,11.10820663,18.69603348
0,0,2100,11.07926668,-21.69789505,-152.8780518,1.756237507,-132.1753693,-25.55594063,0,11.10874263,15.78327465
0,0,2101,11.0793388,-21.6186161,-149.31633,1.654675245,-124.8307877,-25.57006454,0,11.10935964,12.87070179
0,0,2102,11.07934802,-21.54663467,-145.7477264,1.589322805,-117.4894028,-25.58419991,0,11.10987235,9.958309174
0,0,2103,11.07970074,-21.4787693,-142.1724396,1.577501535,-110.1477661,-25.59794426,0,11.11070753,7.046054363
0,0,2104,11.08002897,-21.41440392,-138.5899963,1.592601299,-102.806633,-25.61166954,0,11.1115004,4.133939743
0,0,2105,11.08028135,-21.34764481,-134.9988556,1.606557846,-95.46550751,-25.62543106,0,11.11224209,1.221964598
0,0,2106,11.08097108,-21.26599884,-131.3963776,1.635332346,-88.12576294,-25.63871956,0,11.11354064,-1.689826012
0,0,2107,11.08157949,-21.15232658,-127.7783051,1.58095932,-80.79032898,-25.65205765,0,11.11501611,-4.601584911
