Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-179,0,3970,-6.122969304,-13.808636,0,-5.938418659
-179,0,3985,-3.916402428,-15.5860333,0,-3.794713456
-179,0,4000,-9.485623585,-13.67827885,0,-9.295324528
-178,0,1000,-15.62598858,-1.094019206,0,-9.102862229
-178,0,1015,-15.16715584,-0.929741649,0,-8.016354935
-178,0,1030,-17.77867628,-1.402391122,0,-12.1871815
-178,0,1045,-14.56593727,-3.005945598,0,-11.55127858
-178,0,1060,-14.69766084,-7.151538131,0,-13.76809516
-178,0,1075,-13.88771056,-3.466881211,0,-11.29052429
-178,0,1090,-12.74736263,-1.663759958,0,-7.775071226
-178,0,1105,-16.87012279,-1.522391321,0,-11.57856031
-178,0,1120,-17.58239209,-2.453412734,0,-13.93314512
-178,0,1135,-15.04758164,-5.947836498,0,-13.77366635
-178,0,1150,-17.17641672,-5.998357782,0,-15.91958992
-178,0,1165,-12.81912291,-2.609701962,0,-9.367483519
-178,0,1180,-12.67365779,-1.614525207,0,-7.593980499
-178,0,1195,-12.82438744,-1.467609257,0,-7.399489015
-178,0,1210,-15.61986239,-2.121963919,0,-11.49153132
-178,0,1225,-17.75177138,-4.744399921,0,-15.97739014
-178,0,1240,-11.82691222,-6.63715724,0,-10.76501598
-178,0,1255,-11.06225871,-3.067882709,0,-8.108788004
-178,0,1270,-9.201210157,-1.789666042,0,-4.486939632
-178,0,1285,-8.651358877,-1.627063106,0,-3.599397346
-178,0,1300,-8.224416679,-2.041584298,0,-3.965370067
-178,0,1315,-7.701788118,-4.480373942,0,-5.787810523
-178,0,1330,-9.431443572,-8.796474851,0,-8.816977441
-178,0,1345,-13.5660761,-5.046062828,0,-11.93632953
-178,0,1360,-20.84965974,-2.483406643,0,-17.23960109
-178,0,1375,-10.94876052,-1.793790932,0,-6.242567224
-178,0,1390,-8.955816382,-2.220206215,0,-4.978993099
-178,0,1405,-8.554946634,-5.039636589,0,-6.922270566
-178,0,1420,-8.805167632,-12.58975963,0,-8.559100496
-178,0,1435,-8.683017761,-6.559435028,0,-7.599344453
-178,0,1450,-6.305957599,-3.759675931,0,-3.934557863
-178,0,1465,-3.78431863,-2.788356645,0,-0.54011935
-178,0,1480,-2.184074187,-3.01030795,0,0.826217777
-178,0,1495,-1.384015242,-4.756807093,0,0.384118034
-178,0,1510,-1.647629221,-11.70148135,0,-1.343720615
-178,0,1525,-4.17217465,-8.840520017,0,-3.564363766
-178,0,1540,-11.03182887,-3.865155172,0,-8.735473568
-178,0,1555,-4.282033642,-2.296248009,0,-0.416724484
